Year,Thailand,Vietnam,China,India
1990,50.66,87.759995,207.73001,70.65
1991,46.420002,121.689995,224.05,74.79
1992,54.33,114.44,223.41998,71.5
1993,71.16,111.56999,192.92001,72.729996
1994,66.939995,173.95,221.86002,79.63
1995,73.84,181.26999,273.69,81.66
1996,75.75,211.94,276.71002,84.57
1997,75.4,204.34001,274.12,95.17
1998,85.03,250.48999,275.53,98.8
1999,91.58,264.77,280.21,106.130005
2000,80.16,278.58,263.13998,98.170006
2001,85.37,215.64001,270.58,102.130005
2002,88.979996,221.29,305.04,94.670006
2003,111.42,246.32,299.72998,98.979996
2004,97.75,259.95,320.34003,108.340004
2005,83.240005,229.44,340.27,119.92
2006,85.32,230.73,339.42,127.71
2007,98.57,270.25,347.27,133.4
2008,91.71001,198.62,335.06,143.04
2009,87.869995,289.71,344.26,155.82
2010,113.990005,232.38998,379.43,166.11
2011,116.86,224.88998,394.16998,167.52
2012,114.97,234.04001,403.06003,150.79999
2013,127.14,304.36002,403.09998,144.49
2014,121.17,273.66,419.45,150.95999
2015,103.76,263.09,421.53,157.91
2016,112.46,257.77002,413.56998,153.25
2017,126.97,277.66998,404.7,157.44
2018,105.15,252.38998,387.34,162.2
2019,85.03,247.07,341.15997,171.76
