Year,India,China,Thailand,Vietnam
1990,0.014590027570557702,0.2156449541215005,1.5031845362325875,0.8334578790726818
1991,0.010637905301383225,0.2408621178695241,1.2294538261121297,0.8281393151750973
1992,0.009106766819994588,0.29870354833071144,1.272915427238262,1.467031566373003
1993,0.010172562629928472,0.18383473663299765,1.2308376620200538,2.1199327711199882
1994,0.025007796858946135,0.24465193040900374,1.4630312591294188,2.764612580739871
1995,0.029017656302417146,0.2652242053789731,1.5677502787068005,3.456740660642868
1996,0.03380845892936145,0.24527145235949221,2.057728720324262,3.9749245288406625
1997,0.02139664081927796,0.3711230556812778,2.046642167459288,4.491014537628437
1998,0.029740150209670115,0.3374444117658293,1.556493710842221,5.8792088628085795
1999,0.03161825128581925,0.3645024646535639,2.444729025807066,5.055682499034874
2000,0.03519358725680362,0.3142808314934643,2.498689025835506,4.19166551978373
2001,0.03964796113646401,0.2613121147789173,2.6267777515574853,2.966957131546205
2002,0.04088052837113014,0.20769130013221787,3.2976743574080167,3.55149290820379
2003,0.0837000924622642,0.2141239593256438,3.416734818003181,3.5498169758291174
2004,0.124201664596712,0.20729244756307966,4.6509445660781665,3.670420490298899
2005,0.15195566203425392,0.27466451474467174,3.648075185528757,3.9754485183965325
2006,0.148048299913845,0.32108316535319537,4.7060903800859,4.931273844849512
2007,0.14000341603527144,0.30561907285552314,5.625964543573235,5.5393022737405255
2008,0.19053315032911244,0.32730223858681823,5.335702765821046,6.855389111138893
2009,0.20397372204284603,0.32456778258590385,5.7715912179107205,6.452704870466321
2010,0.2948067291442618,0.3743292791868279,5.887516391209589,6.868899299275556
2011,0.37257013384975995,0.39276706572377823,7.752464953695298,8.136901822921809
2012,0.36610608458422406,0.5146302454627177,7.415428149963689,13.822781574773675
2013,0.42492118246951754,0.5776269846335209,9.01121625627181,15.439573402671684
2014,0.5555789464366853,0.6988865848906717,8.707669857544687,16.25614502966271
2015,0.4434532650977198,0.6833362162654788,7.846356218815205,13.702845990717726
2016,0.5435288541611297,0.770731157646286,8.193906941293893,13.498933505056286
2017,0.6595238586385341,0.6416791906781713,10.0840059418515,9.66246549779644
2018,0.681545093303116,0.6120353315003794,8.764690759486777,19.032825498978127
2019,0.640365737486187,0.697482543398608,6.715064585585585,16.932754759066917
