year,wf_tot_m3_t_india,wf_tot_m3_t_china,wf_tot_m3_t_thailand,wf_tot_m3_t_vietnam
1990,1398.451456,890.7687231,2801.857667,1328.817423
1991,1412.468478,885.2699487,2559.945281,1290.906476
1992,1369.6458,898.7672557,2614.282257,1270.650182
1993,1290.836077,805.9384958,2440.991593,1198.310536
1994,1357.477217,880.2227191,2249.798274,1097.209344
1995,1306.269599,835.552767,2387.660821,1146.850298
1996,1350.249762,785.5330865,2071.595781,1035.77071
1997,1372.267261,784.7569882,2345.042479,1007.20133
1998,1226.596587,772.8580946,2419.960932,1132.637192
1999,1296.335443,737.4399207,2048.445773,900.7095175
2000,1306.168549,817.3629729,1934.570175,934.7047679
2001,1311.414816,831.8547883,1954.076511,890.6590082
2002,1348.851361,794.6785355,1836.180279,944.0875484
2003,1235.403032,820.1136031,1856.321877,887.3838018
2004,1315.424381,839.6878209,1813.644449,856.1036828
2005,1210.475695,810.0552104,1911.681194,873.13312
2006,1234.778013,810.2667288,1701.732209,809.8887744
2007,1167.084404,809.8256976,1864.368467,800.471986
2008,1161.18733,759.4329594,1735.11461,782.1443016
2009,1222.971977,780.9296376,1751.082915,746.902501
2010,1036.832856,747.3165937,1915.324183,790.8834498
2011,1082.750883,780.1996155,1547.424761,702.6492549
2012,1061.54859,737.5516539,1683.856891,727.285119
2013,1007.233561,785.6775802,1653.161377,701.5376737
2014,1102.281088,686.8162101,1690.979867,702.7612339
2015,1076.628805,699.8819621,1911.477882,731.2015265
2016,995.6475903,717.3138179,1850.2086,750.798534
2017,962.6680274,725.7878758,1605.455422,670.6447497
2018,992.9981259,715.3063887,1614.84492,676.4911842
2019,931.9024232,698.4266018,1804.267241,702.8271107
